"Signature","Genes","Threshold","Survival","ZScore_N","ZScore_P","ssGSEA_N","ssGSEA_P","Correlation","Method_Diff","Better_Method","Both_Sig","Either_Sig"
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","66p","OS",245,0.170872,245,0.537178,0.8301,-0.366307,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","66p","DSS",235,0.206467,235,0.689469,0.8301,-0.483002,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","66p","PFI",245,0.012481,245,0.575565,0.8301,-0.563083,"Z-score",FALSE,TRUE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","75p","OS",245,0.224122,245,0.64577,0.8301,-0.421648,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","75p","DSS",235,0.128828,235,0.646916,0.8301,-0.518087,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","75p","PFI",245,0.021199,245,0.977777,0.8301,-0.956578,"Z-score",FALSE,TRUE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","90p","OS",245,0.761783,245,0.935217,0.8301,-0.173434,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","90p","DSS",235,0.835098,235,0.540319,0.8301,0.294779,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","90p","PFI",245,0.501514,245,0.509641,0.8301,-0.008127,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","25p_75p","OS",122,0.509889,122,0.808497,0.8301,-0.298607,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","25p_75p","DSS",118,0.910583,118,0.408017,0.8301,0.502565,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","25p_75p","PFI",122,0.377125,122,0.63022,0.8301,-0.253096,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","33p_66p","OS",164,0.369189,164,0.757689,0.8301,-0.3885,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","33p_66p","DSS",158,0.768963,158,0.117674,0.8301,0.651289,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","33p_66p","PFI",164,0.171511,164,0.881227,0.8301,-0.709716,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","25p","OS",245,0.502512,245,0.949118,0.8905,-0.446607,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","25p","DSS",235,0.084526,235,0.100142,0.8905,-0.015617,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","25p","PFI",245,0.160605,245,0.333352,0.8905,-0.172747,"Z-score",FALSE,FALSE
