"sampleID","ssgsea_CES1_signature","ssgsea_group_3levels","ssgsea_group_binary","quantile_25th","quantile_50th","quantile_75th"
"TCGA-A6-A567-01",0.626829248818955,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-A56B-01",-0.576777963270983,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-A5ZU-01",0.129452140019696,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3489-01",1.09868750765115,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3492-01",-0.714832687208805,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3495-01",0.697324516611385,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3496-01",-0.00186356253664457,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3502-01",-1.09354723700554,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3506-01",0.0293372501650789,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3509-01",0.233862780616971,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3511-01",-0.645065855054999,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3526-01",-0.11915709386644,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3655-01",-0.239539463145877,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3660-01",0.138973461691504,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3662-01",-0.606188986372815,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3663-01",-1.20687752547885,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3675-01",-1.09123032926145,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3685-01",-1.2811372245528,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3697-01",0.0305291752120114,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3712-01",0.420922936236186,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-3713-01",0.0985255402011438,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-A01P-01",0.388196580234791,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-A01X-01",0.491575345322523,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-A01Z-01",-1.19374255793951,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-A02K-01",0.136923621682653,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AA-A02Y-01",-1.98162100289424,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AD-6548-01",0.751790356606821,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AD-6888-01",0.381950062702877,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AD-6889-01",-1.4490655567,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AD-6890-01",0.139965868428712,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-AD-6895-01",0.135555817367554,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
